gutenberg_id,text
42671,      Images of the original pages are available through
42671,      Internet Archive. See
42671,      http://archive.org/stream/novelstextbasedo02austuoft#page/n23/mode/2up
42671,
42671,
42671,Transcriber's note:
42671,
42671,      Text enclosed by underscores is in italics (_italics_).
42671,
42671,      A carat character is used to denote superscription. Multiple
42671,      superscripted characters are enclosed by curly brackets
42671,      (example: M^{rs}).
42671,
42671,
42671,
42671,
42671,
42671,PRIDE AND PREJUDICE:
42671,
42671,A Novel.
42671,
42671,In Three Volumes.
42671,
42671,"By the Author of ""Sense and Sensibility."""
42671,
42671,VOL. I.
42671,
42671,
42671,
42671,
42671,
42671,
42671,
42671,London:
42671,"Printed for T. Egerton,"
42671,"Military Library, Whitehall."
42671,1813.
42671,
42671,
42671,
42671,
42671,[Illustration: Morning Dress.
42671,
42671,_Invented by M^{rs} Bell 26 Charlotte Street Bedford Square._
42671,
42671,_Engraved for No. 72 of La Belle Assemblee 1^{st} July 1815_]
42671,
42671,
42671,
42671,
42671,PRIDE & PREJUDICE.
42671,
42671,
42671,
42671,
42671,CHAPTER I.
42671,
42671,
42671,"It is a truth universally acknowledged, that a single man in possession"
42671,"of a good fortune, must be in want of a wife."
42671,
42671,However little known the feelings or views of such a man may be on his
42671,"first entering a neighbourhood, this truth is so well fixed in the minds"
42671,"of the surrounding families, that he is considered as the rightful"
42671,property of some one or other of their daughters.
42671,
42671,"""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that"
42671,"Netherfield Park is let at last?"""
42671,
42671,Mr. Bennet replied that he had not.
42671,
42671,"""But it is,"" returned she; ""for Mrs. Long has just been here, and she"
42671,"told me all about it."""
42671,
42671,Mr. Bennet made no answer.
42671,
42671,"""Do not you want to know who has taken it?"" cried his wife impatiently."
42671,
42671,"""_You_ want to tell me, and I have no objection to hearing it."""
42671,
42671,This was invitation enough.
42671,
42671,"""Why, my dear, you must know, Mrs. Long says that Netherfield is taken"
42671,by a young man of large fortune from the north of England; that he came
42671,"down on Monday in a chaise and four to see the place, and was so much"
42671,delighted with it that he agreed with Mr. Morris immediately; that he is
42671,"to take possession before Michaelmas, and some of his servants are to be"
42671,"in the house by the end of next week."""
42671,
42671,"""What is his name?"""
42671,
42671,"""Bingley."""
42671,
42671,"""Is he married or single?"""
42671,
42671,"""Oh! single, my dear, to be sure! A single man of large fortune; four"
42671,"or five thousand a year. What a fine thing for our girls!"""
42671,
42671,"""How so? how can it affect them?"""
42671,
42671,"""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You"
42671,"must know that I am thinking of his marrying one of them."""
42671,
42671,"""Is that his design in settling here?"""
42671,
42671,"""Design! nonsense, how can you talk so! But it is very likely that he"
42671,"_may_ fall in love with one of them, and therefore you must visit him as"
42671,"soon as he comes."""
42671,
42671,"""I see no occasion for that. You and the girls may go, or you may send"
42671,"them by themselves, which perhaps will be still better, for as you are"
42671,"as handsome as any of them, Mr. Bingley might like you the best of the"
42671,"party."""
42671,
42671,"""My dear, you flatter me. I certainly _have_ had my share of beauty, but"
42671,I do not pretend to be any thing extraordinary now. When a woman has
42671,"five grown up daughters, she ought to give over thinking of her own"
42671,"beauty."""
42671,
42671,"""In such cases, a woman has not often much beauty to think of."""
42671,
42671,"""But, my dear, you must indeed go and see Mr. Bingley when he comes into"
42671,"the neighbourhood."""
42671,
42671,"""It is more than I engage for, I assure you."""
42671,
42671,"""But consider your daughters. Only think what an establishment it would"
42671,"be for one of them. Sir William and Lady Lucas are determined to go,"
42671,"merely on that account, for in general you know they visit no new"
42671,"comers. Indeed you must go, for it will be impossible for _us_ to visit"
42671,"him, if you do not."""
42671,
42671,"""You are over scrupulous surely. I dare say Mr. Bingley will be very"
42671,glad to see you; and I will send a few lines by you to assure him of my
42671,hearty consent to his marrying which ever he chuses of the girls; though
42671,"I must throw in a good word for my little Lizzy."""
42671,
42671,"""I desire you will do no such thing. Lizzy is not a bit better than the"
42671,"others; and I am sure she is not half so handsome as Jane, nor half so"
42671,good humoured as Lydia. But you are always giving _her_ the
42671,"preference."""
42671,
42671,"""They have none of them much to recommend them,"" replied he; ""they are"
42671,all silly and ignorant like other girls; but Lizzy has something more of
42671,"quickness than her sisters."""
42671,
42671,"""Mr. Bennet, how can you abuse your own children in such a way? You take"
42671,"delight in vexing me. You have no compassion on my poor nerves."""
42671,
42671,"""You mistake me, my dear. I have a high respect for your nerves. They"
42671,are my old friends. I have heard you mention them with consideration
42671,"these twenty years at least."""
42671,
42671,"""Ah! you do not know what I suffer."""
42671,
42671,"""But I hope you will get over it, and live to see many young men of four"
42671,"thousand a year come into the neighbourhood."""
42671,
42671,"""It will be no use to us, if twenty such should come since you will not"
42671,"visit them."""
42671,
42671,"""Depend upon it, my dear, that when there are twenty, I will visit them"
42671,"all."""
42671,
42671,"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour,"
42671,"reserve, and caprice, that the experience of three and twenty years had"
42671,been insufficient to make his wife understand his character. _Her_ mind
42671,"was less difficult to develope. She was a woman of mean understanding,"
42671,"little information, and uncertain temper. When she was discontented she"
42671,fancied herself nervous. The business of her life was to get her
42671,daughters married; its solace was visiting and news.
42671,
42671,
42671,
42671,
42671,CHAPTER II.
42671,
42671,
42671,Mr. Bennet was among the earliest of those who waited on Mr. Bingley. He
42671,"had always intended to visit him, though to the last always assuring his"
42671,wife that he should not go; and till the evening after the visit was
42671,"paid, she had no knowledge of it. It was then disclosed in the following"
42671,"manner. Observing his second daughter employed in trimming a hat, he"
42671,"suddenly addressed her with,"
42671,
42671,"""I hope Mr. Bingley will like it Lizzy."""
42671,
42671,"""We are not in a way to know _what_ Mr. Bingley likes,"" said her mother"
42671,"resentfully, ""since we are not to visit."""
42671,
42671,"""But you forget, mama,"" said Elizabeth, ""that we shall meet him at the"
42671,"assemblies, and that Mrs. Long has promised to introduce him."""
42671,
42671,"""I do not believe Mrs. Long will do any such thing. She has two nieces"
42671,"of her own. She is a selfish, hypocritical woman, and I have no opinion"
42671,"of her."""
42671,
42671,"""No more have I,"" said Mr. Bennet; ""and I am glad to find that you do"
42671,"not depend on her serving you."""
42671,
42671,Mrs. Bennet deigned not to make any reply; but unable to contain
42671,"herself, began scolding one of her daughters."
42671,
42671,"""Don't keep coughing so, Kitty, for heaven's sake! Have a little"
